path,size,mtime,reason,dependency_evidence,reproducibility_risk,rollback_path,recommendation
runtime/data/v7/gold/training_dataset/training_dataset_alpha181_exec_v88.parquet,7.80G,2026-06-11,corrupted by --batch-symbols 300 partial cross-section rank (22 alpha cols); superseded by v88_rankfix | DELETED batch1 2026-07-03 (manifest: runtime/archives/deletion_manifests/),5 code refs: scripts/rebuild_alpha_columns_v89.py;scripts/rankfix_batch_proof.py;scripts/rankfix_recompute_v88.py;scripts/rankfix_verify_v88.py | rankfix scripts read it as INPUT for the completed one-shot fix; fix artifacts retained (rankfix dataset + alpha101_rankfix_22cols diff + scripts),none — corrupted data must not be retrained on,rebuild via rankfix_recompute pipeline from silver (documented),safe_delete
runtime/data/v7/gold/training_dataset/training_dataset_alpha181_full_nosynth.parquet,6.62G,2026-06-11,"full-universe no-edge probe (2026-06-25) concluded and archived in memory/docs | RECLASSIFIED keep: governed no-synth baseline, 6 default refs in v8_gated/v8_verify/evaluate_discovered_factors — semantic role, not stale",14 code refs: scripts/augment_training_dataset.py;scripts/judge_gtja191.py;scripts/fix_training_dataset_tradability_flags.py;scripts/run_gp_formula_search.py | probe scripts/models (v7_alpha_full_universe_nosynth*) are orphaned,low — negative result fully documented,rebuild via build-training-dataset-v7 --factor-library alpha181 (no synth),keep
runtime/data/v7/gold/training_dataset/training_dataset.parquet,1.94G,2026-06-11,legacy generic-name dataset from early v7 | DELETED batch4 2026-07-06 (manifest: runtime/archives/deletion_manifests/batch4_20260706.json; paper daily_loop now fail-fast with rebuild hint),7 code refs: src/quantagent.egg-info/PKG-INFO;src/quantagent/paper/daily_loop.py;src/quantagent/cli/v7_train.py;src/quantagent/cli/v7_data.py | generic default path name appears in CLI/docs as OUTPUT default; no reader depends on this stale content,low,rebuild via build-training-dataset-v7 defaults,safe_delete
runtime/data/v7/gold/training_dataset/training_dataset_core30.parquet,0.79G,2026-06-04,core30 side experiment; summary json retained | DELETED batch4 2026-07-06 (regenerable via v8 build-core-dataset; input defaults typer exists=True fail cleanly),7 code refs: scripts/augment_training_dataset.py;scripts/overlay_regime_split.py;scripts/overlay_backtest_ab.py;scripts/calibrate_predictions.py | core30 summary json kept; no active reader,low,rebuild from silver if ever needed,safe_delete
runtime/data/v7/gold/training_dataset/training_dataset_alpha181_exec_v87.parquet,6.06G,2026-06-11,two generations old (v8.7 exec) | DELETED batch1 2026-07-03 (manifest kept),1 code refs: scripts/build_v88_dataset.py | v87 sweep artifacts remain in runtime/reports/v8/deep for evidence; dataset itself unused,medium — v8.7 sweep retrain no longer reproducible from disk,rebuild via build-training-dataset-v7 (v87 flags documented in sweep run_config),archive_first
runtime/data/v7/gold/training_dataset/training_dataset_alpha181_exec_v89.parquet,7.27G,2026-06-14,pre-plus7 v8.9 dataset; superseded by plus7clean for production,1 code refs: scripts/rebuild_alpha_columns_v89.py | NEEDED to reproduce v8.9-rankfix baseline retrain (trust anchor +17.25%),HIGH if deleted — baseline retrain reproducibility lost,n/a,keep
runtime/data/v7/gold/training_dataset/training_dataset_alpha181_exec_v88_rankfix.parquet,7.99G,2026-06-13,v8.9 base dataset — closed loop LABELS/BASE_DATASET,4 code refs: scripts/rankfix_recompute_v88.py;scripts/run_v89_rankfix_sweep.sh;scripts/rankfix_verify_v88.py;scripts/run_v89_closed_loop.sh | referenced by run_v89_closed_loop.sh,critical,n/a,keep
runtime/data/v7/gold/training_dataset/training_dataset_alpha181_exec_v89_plus7clean.parquet,7.94G,2026-06-19,PRODUCTION dataset (sha in configs/production_blend.json),7 code refs: scripts/run_v89_plus7_retrain.sh;scripts/finish_long_plus7.sh;scripts/rerun_long_v89plus7.sh;scripts/factor_combo_search.py | production lineage,critical,n/a,keep
runtime/data/v7/gold/training_dataset/training_dataset_alpha181_exec_v89_plus8.parquet,7.99G,2026-06-19,plus8 (8 accepted factors) — candidate for future work,1 code refs: services/quant_api/services/runtime_cleanup.py | pooled_eval_clean3 lineage,medium,rebuild from accepted_definitions,keep
runtime/data/v7/gold/training_dataset/alpha101_rankfix_22cols.parquet,0.80G,2026-06-13,rankfix forensic diff (v8.8 incident evidence),1 code refs: scripts/rankfix_recompute_v88.py | audit evidence chain,high (evidence),n/a,keep
runtime/data/v7/gold/training_dataset/tickflow_fin_features.parquet,0.01G,2026-06-08,tickflow financial features (augment path),2 code refs: scripts/augment_training_dataset.py;scripts/build_tickflow_fin_features.py | augment_training_dataset.py reads it,medium,refetch via build_tickflow_fin_features.py,keep
runtime/reports/intraday_dot_ev_full,0.15G,2026-06-18,"dead 做T conclusion family (no realizable edge, stage3b/4 REJECT) | ARCHIVED+DELETED batch2: 840M dot report dirs -> runtime/archives/intraday_dot_reports_20260703.tar.zst (442M, 5133 files)",3 code refs: scripts/intraday_dot_ev_edge_frontier.py;scripts/intraday_dot_ev_plan.py;scripts/intraday_dot_ev_regime_edge.py | orphan report dirs; conclusions archived in memory + stage3_to_6_report.md,low,tar.zst archive before delete,archive_first
runtime/data/v7/gold/training_dataset/training_dataset.parquet,1.94G,2026,legacy generic dataset,BLOCK RESOLVED batch4 2026-07-06: paper/daily_loop.py fail-fast guard added (rebuild hint); v7 cli defaults fail at read with clear path — see row above,low,rebuild via build-training-dataset-v7,safe_delete
runtime/data/v7/gold/training_dataset/training_dataset_core30.parquet,0.79G,2026,core30 side experiment,BLOCK RESOLVED batch4 2026-07-06: cli/v8.py refs are output default (regenerates) + typer exists=True input guards — see row above,low,rebuild from silver,safe_delete
